y_true,y_pred,resid
21.740700692,26.890491,-5.149790793595702
25.7994445547,28.85072,-3.051274897204298
36.2779133046,30.14755,6.130362721714256
36.4878892734,42.05869,-5.57079984403164
25.8455882353,27.26806,-1.4224724489041023
36.4878892734,38.075558,-1.587668435340234
21.2846020761,29.184013,-7.899411290599218
23.4010560147,26.341324,-2.9402678378390625
21.9960888889,22.710524,-0.7144347164466787
33.2990677753,36.590298,-3.2912299236746065
51.4892578125,44.038887,7.450370788574219
41.6866203791,37.94451,3.74210896552578
32.8870572511,32.14063,0.7464284364027378
41.5003341501,35.46256,6.037775403762112
34.1668319778,28.470167,5.6966648177658215
37.2438964844,38.773018,-1.5291213989007844
29.285855981,29.582388,-0.29653194319433496
29.8341049383,28.059023,1.7750820348576184
37.5521193772,32.81251,4.7396079331082035
23.8672839506,27.047083,-3.1797989504009756
29.7984429066,23.733845,6.06459814951992
26.9098183391,29.614817,-2.704998326549415
31.6342169748,32.944443,-1.3102257742234364
38.2434362529,39.816433,-1.5729966999808624
37.7587890625,34.907715,2.85107421875
34.4043268221,36.792446,-2.388119314374606
36.4878892734,30.593542,5.894347174400977
25.8455882353,22.125847,3.7197413725070305
36.1263888889,27.157667,8.968721728865823
30.2680555556,26.075777,4.192278501766992
33.1191111111,36.55111,-3.431998202864847
24.273780352,26.146578,-1.8727974830830085
31.8941398866,28.114782,3.779357553225978
23.4604552469,24.285885,-0.8254296102777339
24.6293252595,22.46531,2.1640161164335936
30.1285714286,27.25262,2.8759507315785164
26.7577854671,24.001226,2.7565590419291013
47.2014285714,40.143223,7.05820576256211
42.0629552549,44.6931,-2.6301447206859407
37.1184,36.095787,1.0226129516601574
35.4245401864,33.717064,1.7074762825914078
26.5158566335,24.134705,2.3811520436562503
30.4734471758,32.75513,-2.281683592022265
48.8102833552,39.89473,8.915553740942187
34.2991180334,34.48053,-0.1814117517562508
25.8401596303,31.973501,-6.133341575144335
27.5624860771,29.88175,-2.3192640297115226
23.7316743827,24.57188,-0.8402059578761722
40.7730263158,32.38672,8.386307565800003
25.4189189189,29.990665,-4.5717465168910145
35.4863951961,29.759453,5.72694237627578
33.9023919753,27.072525,6.829866950885936
