y_true,y_pred,resid,abs_error
53.8951900861,47.71875,-6.176440086100001,6.176440086100001
26.3175675676,32.5,6.182432432399999,6.182432432399999
40.1714285714,39.0625,-1.1089285714,1.1089285714
40.8607419163,41.59375,0.7330080836999997,0.7330080836999997
24.4097222222,25.578125,1.1684027778000008,1.1684027778000008
54.7502441406,40.59375,-14.156494140600003,14.156494140600003
25.7658179012,30.4375,4.671682098800002,4.671682098800002
32.3692444444,33.3125,0.9432555555999969,0.9432555555999969
30.5121527778,32.46875,1.9565972221999992,1.9565972221999992
38.6169433594,39.625,1.008056640600003,1.008056640600003
41.3815789474,38.4375,-2.9440789474000013,2.9440789474000013
27.0665972945,25.046875,-2.0197222944999993,2.0197222944999993
27.7518349534,30.578125,2.8262900466000005,2.8262900466000005
23.0103154136,28.859375,5.849059586399999,5.849059586399999
39.7776787703,36.9375,-2.8401787702999997,2.8401787702999997
37.2438964844,33.9375,-3.306396484399997,3.306396484399997
37.1570216049,30.59375,-6.563271604900002,6.563271604900002
30.5020661157,37.3125,6.8104338843,6.8104338843
27.0926709735,23.875,-3.217670973499999,3.217670973499999
35.896264445,32.625,-3.271264445,3.271264445
41.0488754325,38.53125,-2.5176254324999974,2.5176254324999974
51.4892578125,37.6875,-13.8017578125,13.8017578125
41.19140625,36.59375,-4.59765625,4.59765625
24.0093826234,18.484375,-5.5250076234000005,5.5250076234000005
43.0067567568,35.4375,-7.5692567568000015,7.5692567568000015
46.1718896603,40.40625,-5.765639660300003,5.765639660300003
41.606122449,41.34375,-0.26237244899999723,0.26237244899999723
26.6057525952,32.25,5.6442474048000015,5.6442474048000015
33.2230623819,33.65625,0.43318761809999984,0.43318761809999984
36.6145833333,41.46875,4.854166666700003,4.854166666700003
33.4472318339,30.875,-2.5722318338999983,2.5722318338999983
28.9808163265,27.78125,-1.1995663265000012,1.1995663265000012
26.9098183391,29.59375,2.683931660900001,2.683931660900001
33.4695496925,34.34375,0.8742003074999971,0.8742003074999971
33.8587755102,39.90625,6.047474489800003,6.047474489800003
37.597110152,38.625,1.027889848000001,1.027889848000001
40.6059651334,31.5,-9.105965133399998,9.105965133399998
28.0550304558,26.65625,-1.3987804558000008,1.3987804558000008
40.3466483012,35.375,-4.971648301199998,4.971648301199998
36.1263888889,29.90625,-6.220138888900003,6.220138888900003
31.9545454545,26.640625,-5.3139204545,5.3139204545
29.598351526,30.90625,1.3078984740000017,1.3078984740000017
36.9559611188,37.09375,0.13778888120000232,0.13778888120000232
29.5316110061,29.890625,0.35901399389999966,0.35901399389999966
35.7059478726,30.25,-5.4559478725999995,5.4559478725999995
31.8820861678,42.6875,10.8054138322,10.8054138322
48.7795918367,39.53125,-9.2483418367,9.2483418367
